id,category,language,label,text
rag_bank_001,Bank Impersonation,English,scam,"Bank impersonation scams involve fraudsters posing as representatives from well-known Indian banks such as SBI, HDFC, ICICI, Axis Bank, or PNB. The caller typically opens with an authoritative greeting and claims to be from the 'fraud prevention team', 'KYC department', or 'customer care'. The escalation pattern follows a predictable arc: first, they establish urgency by claiming the victim's account has been suspended, flagged, or compromised. Then they request sensitive details such as Aadhaar number, date of birth, debit card number, CVV, or net banking password. The final stage involves requesting an OTP that the victim receives on their phone, which the scammer uses to complete an unauthorized transaction. Common trigger phrases include 'your account will be blocked in 2 hours', 'suspicious activity detected', 'KYC update required immediately', and 'unauthorized transaction from your account'. These calls often spoof legitimate bank numbers to appear genuine on caller ID."
rag_bank_002,Bank Impersonation,Hinglish,scam,"Bank impersonation scam calls mein scammer SBI, HDFC, ya ICICI Bank ka representative banta hai. Call ki shuruat formal greeting se hoti hai jaise 'Namaste, main SBI customer care se bol raha hoon'. Phir victim ko bataya jata hai ki unka account suspicious activity ki wajah se block ho gaya hai ya KYC expire ho gayi hai. Urgency create karne ke liye scammer kehta hai 'aaj raat 12 baje account band ho jayega' ya 'abhi verify karo warna transaction rok denge'. Victim se Aadhaar number, ATM PIN, ya OTP maanga jata hai. OTP maangne ka tarika hota hai 'ek OTP aaya hoga aapke phone pe, woh share karein toh account restore ho jayega'. In calls mein scammer authoritative tone use karta hai aur victim ko sochne ka waqt nahi deta. Aksar ye calls spoofed numbers se aate hain jo genuine bank numbers jaisi dikhti hain."
rag_bank_003,Bank Impersonation,Tenglish,scam,"Bank impersonation scam calls lo scammer SBI, HDFC, ledu Axis Bank representative laa matladutaadu. Call start lo 'Namaskaram, nenu SBI Bank nundi matladutunnanu' ani formal ga start avutundi. Taruvata victim ki cheppataadu ki meeru account suspicious activity walla block ayyindi ledu KYC expire ayyindi ani. Urgency create cheyyataaniki 'eedu raatri 12 gantalkki account band avutundi' ani cheptaadu. Victim nundi Aadhaar number, ATM PIN, ledu OTP adugutaadu. OTP aduge tarika 'oka OTP vachindi meeru phone ki, daanini share cheste account restore avutundi' ani cheptaadu. Ee calls lo scammer authoritative tone use chestadu mariyu victim ki aalochinche time ivvaadu. Chala sarlu ee calls genuine bank numbers laa kanapistaayi spoofing valla."
rag_otp_001,OTP Fraud,English,scam,"OTP fraud is one of the most common financial scams in India, exploiting the one-time password system used by banks and UPI platforms. Scammers typically pose as bank officials, NPCI representatives, or payment app support agents. The core manipulation involves convincing the victim that sharing their OTP is necessary to 'block a fraudulent transaction', 'verify their account', or 'complete a KYC update'. In reality, the scammer has already initiated a transaction or login attempt and needs the OTP to complete it. Key escalation phrases include 'a transaction of Rs X is happening right now — share your OTP to stop it', 'your account will be deactivated unless you verify with OTP', and 'the OTP is just for verification, no money will be deducted'. The scammer creates extreme time pressure, claiming the OTP expires in 60 seconds. Platforms targeted include SBI YONO, PhonePe, Google Pay, Paytm, and BHIM UPI."
rag_otp_002,OTP Fraud,Hinglish,scam,"OTP fraud India mein sabse common financial scam hai. Scammer bank official, NPCI representative, ya PhonePe/Google Pay support agent banta hai. Core manipulation ye hoti hai ki victim ko convince kiya jata hai ki OTP share karna zaroori hai — kisi 'fraudulent transaction ko block karne ke liye' ya 'account verify karne ke liye'. Actually scammer pehle se hi ek transaction ya login initiate kar chuka hota hai aur OTP chahiye usse complete karne ke liye. Common phrases hain 'abhi aapke account se Rs X ja raha hai, OTP share karo isko rokne ke liye', 'OTP sirf verification ke liye hai, koi paisa nahi katega', aur 'OTP 60 seconds mein expire ho jayega, jaldi batao'. Scammer extreme urgency create karta hai taki victim soch na sake. PhonePe, Google Pay, Paytm, aur BHIM UPI pe ye scam zyada hota hai."
rag_otp_003,OTP Fraud,Tenglish,scam,"OTP fraud India lo most common financial scam. Scammer bank official, NPCI representative, ledu PhonePe/Google Pay support agent laa matladutaadu. Core manipulation em antee victim ni convince cheyyatam ki OTP share cheyyatam avasaram — 'fraudulent transaction block cheyyataaniki' ledu 'account verify cheyyataaniki' ani. Nijamga scammer already oka transaction ledu login initiate chesuntaadu mariyu OTP kavali complete cheyyataaniki. Common phrases: 'ippudu meeru account nundi Rs X vastondi, OTP share cheyyandi aapaaniki', 'OTP kevalam verification kosam, em money poledhu', mariyu 'OTP 60 seconds lo expire avutundi, veganga cheppandi'. Scammer extreme urgency create chestadu taki victim aalochinchakunda. PhonePe, Google Pay, Paytm, mariyu BHIM UPI pe ee scam ekkuva jarugutondi."
rag_upi_001,UPI Payment Scam,English,scam,"UPI payment scams exploit the widespread adoption of Unified Payments Interface in India. These scams take multiple forms: the 'receive money' QR code trick where a scammer sends a QR code claiming it will credit money but actually debits the victim's account; impersonation of friends or relatives claiming emergency situations to request urgent UPI transfers; fake OLX or Quikr buyers who pose as army officers and request advance payments; and BHIM/PhonePe lottery scams where victims are told they have won cashback and must pay a small fee to claim it. The language pattern in UPI scams often includes emotional manipulation: 'bhai emergency hai, accident ho gaya', 'please abhi bhej de, life or death situation hai', and 'ye receive karne wala QR hai, send nahi'. A key indicator is the request to 'scan this QR' or 'click collect money' when the actual outcome is a debit."
rag_upi_002,UPI Payment Scam,Hinglish,scam,"UPI payment scam India mein kai tarah se hota hai. Sabse common hai 'receive money QR code' trick — scammer ek QR code bhejta hai ye kehke ki paisa aayega, lekin actually account se paisa kat jata hai. Doosra tarika hai fake emergency — scammer kisi relative ya dost ki tarah baat karta hai aur kehta hai 'bhai accident ho gaya, hospital mein hoon, turant Rs 5000 bhej de'. Teesra tarika OLX scam hai jahan buyer army officer banta hai aur advance payment maangta hai. BHIM lottery scam mein victim ko kehte hain ki unhone cashback jeeta hai. Common phrases: 'bhai please abhi bhej, bahut urgent hai', 'ye collect money ka QR hai, scan karo', 'mera number change ho gaya hai, is naye number pe bhejo'. Scammer emotional manipulation use karta hai victim ko pressure mein dalne ke liye aur jaldi decision lene par majboor karta hai."
rag_upi_003,UPI Payment Scam,Tenglish,scam,"UPI payment scam India lo chala taraluga jarugutundi. Most common ga 'receive money QR code' trick — scammer oka QR code pampataadu 'dabbu vastuundi scan cheyyi' ani cheppi, kaani actually account nundi dabbu poyyatam jarugutondi. Rendu tarika fake emergency — scammer friend ledu relative laa matladutaadu mariyu cheptaadu 'bhai accident ayyindi, hospital lo unnaanu, ventane Rs 5000 pampu'. Moondu tarika OLX scam lo buyer army officer laa bhaavistadu mariyu advance payment adugutaadu. BHIM lottery scam lo victim ki cheptaaru cashback gelluchukunnaadu ani. Common phrases: 'bhai please ippude pampu, chala urgent', 'ee collect money QR, scan cheyyi', 'naaku number change ayyindi, ee kotta number ki pampu'. Scammer emotional manipulation use chestadu victim ni pressure lo pette laagataaniki mariyu quick decision teesukune laa chestadu."
rag_job_001,Job Scam,English,scam,"Job scams in India target unemployed youth and job seekers by offering fake positions at reputed companies like TCS, Infosys, Wipro, Amazon, or government departments. The scammer typically claims to have found the victim's resume on Naukri.com, LinkedIn, or Indeed, and offers an attractive work-from-home position with high salary. The escalation involves multiple fee demands: first a registration fee, then a training kit fee, then a background check fee, and finally a security deposit — all claimed to be refundable upon joining. Common phrases include 'you are selected for WFH position at Rs 25,000 per month', 'pay Rs 2,000 registration fee, it is fully refundable', 'your appointment letter will be emailed once payment is confirmed', and 'this is a government-approved vacancy'. A key red flag is any job offer that requires upfront payment before employment begins."
